episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish
293,1,2.0489,0.4758,0.283,291,826,0.231,75,1.02,10405,261.70,0,0
294,1,1.5003,0.4735,0.245,459,1366,0.230,95,1.02,10451,406.92,0,0
295,1,-0.3078,0.5301,0.351,639,1767,0.229,95,1.02,10515,552.91,0,0
296,1,2.6155,0.5382,0.281,614,1648,0.228,95,1.01,10577,538.00,0,0
297,1,0.9406,0.5699,0.253,526,1513,0.227,95,1.01,10630,456.09,0,0
298,1,-0.6687,0.5730,0.359,658,1810,0.226,95,1.01,10696,580.86,0,0
299,1,2.2790,0.5295,0.271,598,1672,0.225,95,1.00,10756,518.85,0,0
300,1,-4.3345,0.3880,0.278,558,1590,0.223,95,1.00,10812,489.87,0,0
301,1,-0.6861,0.4254,0.312,489,1443,0.222,95,1.00,10861,433.56,0,0
302,1,1.3307,0.4665,0.355,510,1490,0.221,95,0.99,10912,434.57,0,0
